Altium Designer Pick and Place Locations
D:\0001Nour\D\My Work\Design\Altium Design\project\UpWork Projects\010- Four Stepper Motor controller\Hardware Design\Project Outputs for Hardware Design\Pick Place for SystemV1.csv

========================================================================================================================
File Design Information:

Date:       04/02/25
Time:       22:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C72","0.1uF/50V","TopLayer","PCBComponent_1","62.6110mm","50.9270mm","180","C1591"
"C70","0.1uF/50V","TopLayer","PCBComponent_1","112.2680mm","51.4350mm","270","C1591"
"C68","0.1uF/50V","TopLayer","PCBComponent_1","162.8396mm","51.5250mm","270","C1591"
"C66","0.1uF/50V","TopLayer","PCBComponent_1","197.9960mm","47.6250mm","0","C1591"
"X1","8MHz","TopLayer","SMD3213-3P","29.3370mm","74.5490mm","0","C907975"
"U26","STM32","TopLayer","LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL","30.8610mm","83.1850mm","0","C74524"
"U25","TLP291(GB-TP,SE","TopLayer","SOP-4-1.27mm","51.6890mm","62.9920mm","90","C55144"
"U24","6N137S-TA1-L","TopLayer","SOP-8_L9.8-W6.6-P2.54-LS10.3-BL","44.5770mm","62.4840mm","180","C92651"
"U23","6N137S-TA1-L","TopLayer","SOP-8_L9.8-W6.6-P2.54-LS10.3-BL","34.1630mm","62.4840mm","180","C92651"
"U22","REF3318AIDBZR","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","61.4680mm","40.7670mm","0","C115877"
"U20","SN74HC14DR","TopLayer","SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL","45.5930mm","23.6220mm","270","C6820"
"U19","TLP291(GB-TP,SE","TopLayer","SOP-4-1.27mm","102.3620mm","61.9760mm","90","C55144"
"U18","6N137S-TA1-L","TopLayer","SOP-8_L9.8-W6.6-P2.54-LS10.3-BL","95.3770mm","61.9760mm","180","C92651"
"U17","6N137S-TA1-L","TopLayer","SOP-8_L9.8-W6.6-P2.54-LS10.3-BL","84.8360mm","62.1030mm","180","C92651"
"U16","REF3318AIDBZR","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","111.6330mm","40.6400mm","0","C115877"
"U14","SN74HC14DR","TopLayer","SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL","93.9800mm","23.4950mm","270","C6820"
"U13","TLP291(GB-TP,SE","TopLayer","SOP-4-1.27mm","152.9080mm","62.4840mm","90","C55144"
"U12","6N137S-TA1-L","TopLayer","SOP-8_L9.8-W6.6-P2.54-LS10.3-BL","145.7960mm","62.9920mm","180","C92651"
"U11","6N137S-TA1-L","TopLayer","SOP-8_L9.8-W6.6-P2.54-LS10.3-BL","135.2550mm","62.9920mm","180","C92651"
"U10","REF3318AIDBZR","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","162.1980mm","40.8280mm","0","C115877"
"U8","SN74HC14DR","TopLayer","SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL","143.8910mm","22.7330mm","270","C6820"
"U6","6N137S-TA1-L","TopLayer","SOP-8_L9.8-W6.6-P2.54-LS10.3-BL","195.1990mm","62.7380mm","180","C92651"
"U5","6N137S-TA1-L","TopLayer","SOP-8_L9.8-W6.6-P2.54-LS10.3-BL","184.6580mm","62.7380mm","180","C92651"
"U4","REF3318AIDBZR","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","212.4740mm","40.7670mm","0","C115877"
"U2","TLP291(GB-TP,SE","TopLayer","SOP-4-1.27mm","202.3110mm","62.3570mm","90","C55144"
"U1","SN74HC14DR","TopLayer","SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL","196.9770mm","24.7650mm","270","C6820"
"T12","MMBT3904 Transistor","TopLayer","MMBT3904","51.6780mm","54.1720mm","270","C108429"
"T11","MMBT3904 Transistor","TopLayer","MMBT3904","73.0250mm","46.8630mm","0","C108429"
"T10","MMBT3904 Transistor","TopLayer","MMBT3904","38.8620mm","21.8440mm","270","C108429"
"T9","MMBT3904 Transistor","TopLayer","MMBT3904","101.9950mm","53.4100mm","270","C108429"
"T8","MMBT3904 Transistor","TopLayer","MMBT3904","123.1900mm","46.8630mm","0","C108429"
"T7","MMBT3904 Transistor","TopLayer","MMBT3904","87.3760mm","21.8440mm","270","C108429"
"T6","MMBT3904 Transistor","TopLayer","MMBT3904","152.5300mm","53.8480mm","270","C108429"
