Altium Designer Pick and Place Locations
D:\0001Nour\D\My Work\Design\Altium Design\project\UpWork Projects\010- Four Stepper Motor controller\Hardware Design - V2.1\Project Outputs for Hardware Design\Pick Place for SystemV1.csv

========================================================================================================================
File Design Information:

Date:       02/03/26
Time:       15:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C13","33uF/50V","TopLayer","CAPLEAD_D6.3MM","22.2050mm","19.7612mm","0","C45099"
"R106","4.7KR","TopLayer","R0402","65.1002mm","20.8290mm","270","C105871"
"U29","REF3318AIDBZR","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","140.5738mm","24.4950mm","270","C115877"
"R101","4.7KR","TopLayer","R0402","103.1240mm","34.6710mm","270","C105871"
"R96","0.2R","TopLayer","RESC6431X12N","130.0480mm","24.1046mm","270","C2903473"
"R95","0.2R","TopLayer","RESC6431X12N","134.0104mm","24.1046mm","270","C2903473"
"R92","0R","TopLayer","RESC1608X06N","147.0660mm","15.4940mm","270","C100044"
"R90","33KR","TopLayer","RESC1608X06N","146.6342mm","20.2438mm","0","C126359"
"R88","24KR","TopLayer","RESC1608X06N","145.3642mm","26.3906mm","90","C2930081"
"R87","4.7KR","TopLayer","R0402","150.2664mm","26.0858mm","90","C105871"
"Q5","C400505","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","147.9550mm","23.1140mm","270","C400505"
"LED6","1206 LED","TopLayer","1206_LED","147.7264mm","30.6070mm","180","C434438"
"C78","1uF/16V","TopLayer","PCBCOMPONENT_1","141.8082mm","21.6916mm","180","C1592"
"C75","10uF/25V","TopLayer","PCBCOMPONENT_1","138.9888mm","21.7170mm","0","C96446"
"C74","0.1uF/50V","TopLayer","PCBCOMPONENT_1","148.4376mm","15.4940mm","270","C1591"
"C73","0.1uF/50V","TopLayer","PCBCOMPONENT_1","115.9510mm","13.0556mm","270","C1591"
"U28","TB6600HG","TopLayer","HZIP25-P-1.0_TB6600HG_-_HEATSINK","132.0198mm","15.8684mm","180","C66042"
"S1","Header 3X2","TopLayer","HDR2X3","65.0240mm","64.3890mm","0","C42431837"
"C76","4u7","TopLayer","CAPLEAD_D6.3mm","111.2266mm","13.7360mm","90","C2691843"
"C88","4u7","TopLayer","CAPLEAD_D6.3mm","31.9024mm","13.7468mm","90","C2691843"
"U38","TLP291(GB-TP,SE","TopLayer","SOP-4-1.27mm","38.7350mm","42.7736mm","90","C55144"
"U37","6N137S-TA1-L","TopLayer","SOP-8_L9.8-W6.6-P2.54-LS10.3-BL","46.7360mm","42.3926mm","180","C92651"
"U36","6N137S-TA1-L","TopLayer","SOP-8_L9.8-W6.6-P2.54-LS10.3-BL","57.6580mm","42.3926mm","180","C92651"
"U35","REF3318AIDBZR","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","60.3622mm","24.2918mm","270","C115877"
"U34","TB6600HG","TopLayer","HZIP25-P-1.0_TB6600HG_-_HEATSINK","52.3450mm","15.9700mm","180","C66042"
"U32","TLP291(GB-TP,SE","TopLayer","SOP-4-1.27mm","104.2670mm","42.6720mm","90","C55144"
"U31","6N137S-TA1-L","TopLayer","SOP-8_L9.8-W6.6-P2.54-LS10.3-BL","112.1410mm","42.2910mm","180","C92651"
"U30","6N137S-TA1-L","TopLayer","SOP-8_L9.8-W6.6-P2.54-LS10.3-BL","123.1900mm","42.2910mm","180","C92651"
"U21","TB6600HG","TopLayer","HZIP25-P-1.0_TB6600HG_-_HEATSINK","211.4042mm","15.9954mm","180","C66042"
"U15","TB6600HG","TopLayer","HZIP25-P-1.0_TB6600HG_-_HEATSINK","291.0370mm","15.8684mm","180","C66042"
"U9","TB6600HG","TopLayer","HZIP25-P-1.0_TB6600HG_-_HEATSINK","369.7478mm","15.8430mm","180","C66042"
"U3","TB6600HG","TopLayer","HZIP25-P-1.0_TB6600HG_-_HEATSINK","448.7164mm","15.8684mm","180","C66042"
"T18","MMBT3904 Transistor","TopLayer","MMBT3904","36.3110mm","35.7316mm","270","C108429"
"T17","MMBT3904 Transistor","TopLayer","MMBT3904","68.1880mm","27.6684mm","90","C108429"
"T15","MMBT3904 Transistor","TopLayer","MMBT3904","100.7110mm","35.5600mm","270","C108429"
"T14","MMBT3904 Transistor","TopLayer","MMBT3904","147.9804mm","27.1526mm","90","C108429"
"Stepper6","Header 4 Pin Polar","TopLayer","PCBComponent_1","75.9206mm","14.0970mm","180","C144395"
"Stepper5","Header 4 Pin Polar","TopLayer","PCBComponent_1","155.4988mm","14.0970mm","180","C144395"
"R124","4.7KR","TopLayer","R0402","35.0520mm","38.7096mm","180","C105871"
"R123","4.7KR","TopLayer","R0402","36.7030mm","39.0906mm","90","C105871"
"R122","1K","TopLayer","R0402","39.3700mm","48.9966mm","90","C106235"
"R121","4.7KR","TopLayer","R0402","38.6080mm","34.6456mm","270","C105871"
"R120","330R","TopLayer","R0402","48.0060mm","48.9966mm","90","C105875"
"R119","4.7KR","TopLayer","R0402","46.1010mm","36.4236mm","180","C105871"
"R118","330R","TopLayer","R0402","58.9280mm","48.9966mm","90","C105875"
"R117","4.7KR","TopLayer","R0402","56.7690mm","36.1696mm","180","C105871"
"R116","0.2R","TopLayer","RESC6431X12N","50.2920mm","24.1046mm","270","C2903473"
"R115","0.2R","TopLayer","RESC6431X12N","54.2798mm","24.1046mm","270","C2903473"
"R114","51KR","TopLayer","R0402","41.5290mm","21.0674mm","90","C107230"
"R113","4.7KR","TopLayer","R0402","46.1264mm","21.0928mm","270","C105871"
"R112","0R","TopLayer","RESC1608X06N","67.0052mm","15.4940mm","270","C100044"
"R111","33KR","TopLayer","RESC1608X06N","40.3606mm","21.4738mm","90","C126359"
"R110","33KR","TopLayer","RESC1608X06N","67.1322mm","20.5740mm","0","C126359"
"R108","24KR","TopLayer","RESC1608X06N","65.6082mm","27.0764mm","90","C2930081"
"R107","4.7KR","TopLayer","R0402","70.4596mm","26.5938mm","90","C105871"
"R104","4.7KR","TopLayer","R0402","99.8220mm","39.1160mm","180","C105871"
"R103","4.7KR","TopLayer","R0402","101.3460mm","38.9890mm","90","C105871"
"R102","1K","TopLayer","R0402","104.9020mm","48.8950mm","90","C106235"
"R100","330R","TopLayer","R0402","113.4110mm","48.8950mm","90","C105875"
"R99","4.7KR","TopLayer","R0402","111.3790mm","35.8140mm","180","C105871"
